INFO(chunker_countsort_laszip.cpp:176): counting cloud7.las, first point: 12'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud7.las, first point: 13'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud7.las, first point: 14'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud7.las, first point: 15'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud7.las, first point: 16'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud7.las, first point: 17'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud7.las, first point: 18'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud7.las, first point: 19'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud7.las, first point: 20'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud9.las, first point: 0, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud7.las, first point: 21'000'000, num points: 192'682
INFO(chunker_countsort_laszip.cpp:176): counting cloud9.las, first point: 1'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud9.las, first point: 2'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud9.las, first point: 3'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud9.las, first point: 4'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud9.las, first point: 5'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud9.las, first point: 6'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud9.las, first point: 7'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud9.las, first point: 8'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud9.las, first point: 9'000'000, num points: 510'921
INFO(chunker_countsort_laszip.cpp:176): counting cloud6.las, first point: 0, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud6.las, first point: 1'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud6.las, first point: 2'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud6.las, first point: 3'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud6.las, first point: 4'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud6.las, first point: 5'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud6.las, first point: 6'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud6.las, first point: 9'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud6.las, first point: 7'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud6.las, first point: 8'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud6.las, first point: 10'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud6.las, first point: 11'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud6.las, first point: 12'000'000, num points: 785'617
INFO(chunker_countsort_laszip.cpp:176): counting cloud8.las, first point: 1'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud8.las, first point: 0, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud8.las, first point: 2'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud8.las, first point: 3'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud8.las, first point: 4'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud8.las, first point: 5'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud8.las, first point: 7'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud8.las, first point: 8'000'000, num points: 1'000'000
